itemid,quality,class,type,value,canuse,cansee,init_count,autoinc_type,autoinc_time,autoinc_step,autoinc_bound,is_public
2001001,1,1,1,5,0,1,0,none,0,0,0,0
2001002,2,1,1,60,0,1,0,none,0,0,0,0
2001003,3,1,1,480,0,1,0,none,0,0,0,0
2002001,1,1,2,5,0,1,0,none,0,0,0,0
2002002,2,1,2,60,0,1,0,none,0,0,0,0
2002003,3,1,2,480,0,1,0,none,0,0,0,0
2003001,1,1,3,5,0,1,0,none,0,0,0,0
2003002,2,1,3,60,0,1,0,none,0,0,0,0
2003003,3,1,3,480,0,1,0,none,0,0,0,0
2004001,1,1,4,5,0,1,0,none,0,0,0,0
2004002,2,1,4,60,0,1,0,none,0,0,0,0
2004003,3,1,4,480,0,1,0,none,0,0,0,0
2005001,1,1,5,5,0,1,0,none,0,0,0,0
2005002,2,1,5,60,0,1,0,none,0,0,0,0
2005003,3,1,5,480,0,1,0,none,0,0,0,0
2100020,1,2,1,0,0,0,0,Daily,1260,1,1,0
2100038,1,2,2,0,0,0,0,Daily,1260,1,1,0
2100040,1,2,3,0,0,0,0,Daily,1260,10,10,0
2100042,1,2,4,0,0,0,0,Daily,1260,300,300,0
2100043,1,2,5,0,0,0,0,Daily,1260,-999,0,0
2100044,1,2,6,0,0,0,0,Daily,1260,1,1,0
1101004,1,3,4,0,0,0,0,none,0,0,0,0
2100005,1,4,1,0,2806001,1,0,none,0,0,0,0
2100006,1,4,2,0,2806002,1,0,none,0,0,0,0
2100007,1,4,3,0,2806003,1,0,none,0,0,0,0
2100008,1,4,4,0,2806004,1,0,none,0,0,0,0
2100009,1,4,5,0,2806005,1,0,none,0,0,0,0
2100010,1,4,6,0,2806006,1,0,none,0,0,0,0
2100011,1,4,7,0,2806007,1,0,none,0,0,0,0
2100012,1,4,8,0,2806008,1,0,none,0,0,0,0
2100013,1,4,9,0,2806009,1,0,none,0,0,0,0
2100014,1,4,10,0,2806010,1,0,none,0,0,0,0
2100015,1,4,11,0,2806011,1,0,none,0,0,0,0
2100016,1,4,12,0,2806012,1,0,none,0,0,0,0
2100017,1,4,13,0,2806013,1,0,none,0,0,0,0
2100018,1,4,14,0,2806014,1,0,none,0,0,0,0
2100019,1,4,15,0,2806015,1,0,none,0,0,0,0
2100021,1,5,0,0,0,1,20,none,0,0,0,0
2100022,1,5,1,0,0,1,0,none,0,0,0,0
2100023,1,5,2,0,0,1,0,none,0,0,0,0
2100024,1,5,3,0,0,1,0,none,0,0,0,0
2100025,1,5,4,0,0,1,0,none,0,0,0,0
2100026,1,5,5,0,0,1,0,none,0,0,0,0
2100027,1,5,6,0,0,1,0,none,0,0,0,0
2100028,1,5,7,0,0,1,0,none,0,0,0,0
2100029,1,5,8,0,0,1,0,none,0,0,0,0
2100030,1,5,9,0,0,1,0,none,0,0,0,0
2100031,1,5,10,0,0,1,0,none,0,0,0,0
2100032,1,6,1,0,0,1,0,none,0,0,0,0
1102001,1,7,1,0,0,0,0,none,0,0,0,0
1102002,1,7,2,0,0,0,0,none,0,0,0,0
1102003,1,7,3,0,0,0,0,none,0,0,0,0
1102004,1,7,4,0,0,0,0,none,0,0,0,0
1103001,1,8,1,0,0,0,0,none,0,0,0,0
1103002,1,8,2,0,0,0,0,none,0,0,0,0
1103003,1,8,3,0,0,0,0,none,0,0,0,0
1103004,1,8,4,0,0,0,0,none,0,0,0,0
2100033,1,9,1,0,0,1,0,none,0,0,0,0
1101001,1,10,1101001,100000,0,0,0,none,0,0,0,0
1101002,1,10,1101002,100000,0,0,0,none,0,0,0,0
1101003,1,10,1101003,100000,0,0,0,none,0,0,0,0
2201001,1,10,1101001,10000,0,1,0,none,0,0,0,0
2201002,2,10,1101001,100000,0,1,0,none,0,0,0,0
2201003,3,10,1101001,1000000,0,1,0,none,0,0,0,0
2201004,1,10,1101001,100000,0,1,0,none,0,0,0,0
2202001,1,10,1101002,10000,0,1,0,none,0,0,0,0
2202002,2,10,1101002,100000,0,1,0,none,0,0,0,0
2202003,3,10,1101002,1000000,0,1,0,none,0,0,0,0
2202004,1,10,1101002,100000,0,1,0,none,0,0,0,0
2203001,1,10,1101003,10000,0,1,0,none,0,0,0,0
2203002,2,10,1101003,100000,0,1,0,none,0,0,0,0
2203003,3,10,1101003,1000000,0,1,0,none,0,0,0,0
2203004,1,10,1101003,100000,0,1,0,none,0,0,0,0
2209001,1,10,1101004,100000,0,1,0,none,0,0,0,0
2205001,1,10,1102002,10,0,1,0,none,0,0,0,0
2205002,1,10,1102002,100000,0,1,0,none,0,0,0,0
2206001,1,10,1102001,100,0,1,0,none,0,0,0,0
2206002,1,10,1102001,100000,0,1,0,none,0,0,0,0
2207001,1,10,1102003,100,0,1,0,none,0,0,0,0
2207002,1,10,1102003,100000,0,1,0,none,0,0,0,0
2208001,1,10,1102004,100,0,1,0,none,0,0,0,0
2208002,1,10,1102004,100000,0,1,0,none,0,0,0,0
2210001,1,10,1103002,1000,0,1,0,none,0,0,0,0
1101201,1,10,1101201,1000,0,1,0,none,0,0,0,0
1101202,1,10,1101202,1000,0,1,0,none,0,0,0,0
1101203,1,10,1101203,1000,0,1,0,none,0,0,0,0
2204004,1,10,1103002,1000,0,1,0,none,0,0,0,0
2204001,1,11,0,0,2901001,1,0,none,0,0,0,0
2204002,1,11,0,0,2901002,1,0,none,0,0,0,0
2204003,1,11,0,0,2901003,1,0,none,0,0,0,0
2100034,1,12,1,0,2806017,1,0,none,0,0,0,0
2100035,1,12,2,0,2806018,1,0,none,0,0,0,0
2100036,1,12,3,0,2806019,1,0,none,0,0,0,0
2100037,1,12,4,0,2806020,1,0,none,0,0,0,0
2299999,1,12,999999,0,2899999,1,0,none,0,0,0,0
2400001,1,14,9,0,2810001,1,0,none,0,0,0,0
2400002,1,14,10,0,2810002,1,0,none,0,0,0,0
2400003,1,14,11,0,2810003,1,0,none,0,0,0,0
2400004,1,14,12,0,2810004,1,0,none,0,0,0,0
2400005,1,14,13,0,2810005,1,0,none,0,0,0,0
2400006,1,14,14,0,2810006,1,0,none,0,0,0,0
3301110,1,15,1201110,10000,0,1,0,none,0,0,0,0
3301210,1,15,1201210,10000,0,1,0,none,0,0,0,0
3302110,1,15,1202110,10000,0,1,0,none,0,0,0,0
3302210,1,15,1202210,10000,0,1,0,none,0,0,0,0
3303110,1,15,1203110,10000,0,1,0,none,0,0,0,0
3303210,1,15,1203210,10000,0,1,0,none,0,0,0,0
3304110,1,15,1204110,10000,0,1,0,none,0,0,0,0
2100039,1,16,0,0,0,1,0,none,0,0,0,0
2007001,1,17,2700001,60,0,1,0,none,0,0,0,0
2007002,2,17,2700001,480,0,1,0,none,0,0,0,0
2007003,3,17,2700001,1440,0,1,0,none,0,0,0,0
2006001,1,17,2700002,60,0,1,0,none,0,0,0,0
2006002,2,17,2700002,480,0,1,0,none,0,0,0,0
2006003,3,17,2700002,1440,0,1,0,none,0,0,0,0
2211001,1,18,1103004,10000,0,1,0,none,0,0,0,0
2100041,1,19,1,1440,0,1,0,none,0,0,0,0
2008101,3,12,5,0,2910001,1,0,none,0,0,0,0
2008102,2,20,6,0,2910002,1,0,none,0,0,0,0
2008103,2,20,7,0,2910003,1,0,none,0,0,0,0
2008104,2,20,8,0,2910004,1,0,none,0,0,0,0
2008105,2,20,9,0,2910005,1,0,none,0,0,0,0
2008106,3,20,10,0,2910006,1,0,none,0,0,0,0
2008107,3,20,11,0,2910007,1,0,none,0,0,0,0
2008108,3,20,12,0,2910008,1,0,none,0,0,0,0
2008109,3,20,13,0,2910009,1,0,none,0,0,0,0
2008110,3,20,14,0,2910010,1,0,none,0,0,0,0
2008111,4,20,15,0,2910011,1,0,none,0,0,0,0
2008112,4,20,16,0,2910012,1,0,none,0,0,0,0
2008113,4,20,17,0,2910013,1,0,none,0,0,0,0
2008114,4,20,18,0,2910014,1,0,none,0,0,0,0
2008115,4,20,19,0,2910015,1,0,none,0,0,0,0
2008116,2,20,20,0,2910016,1,0,none,0,0,0,0
2008117,2,20,21,0,2910017,1,0,none,0,0,0,0
2008118,2,20,22,0,2910018,1,0,none,0,0,0,0
2008119,2,20,23,0,2910019,1,0,none,0,0,0,0
2008120,2,20,24,0,2910020,1,0,none,0,0,0,0
2008121,3,20,25,0,2910021,1,0,none,0,0,0,0
2008122,3,20,26,0,2910022,1,0,none,0,0,0,0
2008123,3,20,27,0,2910023,1,0,none,0,0,0,0
2008124,3,20,28,0,2910024,1,0,none,0,0,0,0
2008125,3,20,29,0,2910025,1,0,none,0,0,0,0
2008126,4,20,30,0,2910026,1,0,none,0,0,0,0
2008127,4,20,31,0,2910027,1,0,none,0,0,0,0
2008128,4,20,32,0,2910028,1,0,none,0,0,0,0
2008129,4,20,33,0,2910029,1,0,none,0,0,0,0
2008130,4,20,34,0,2910030,1,0,none,0,0,0,0
2008201,2,20,35,0,2910031,1,0,none,0,0,0,0
2008202,2,20,36,0,2910032,1,0,none,0,0,0,0
2008203,2,20,37,0,2910033,1,0,none,0,0,0,0
2008204,2,20,38,0,2910034,1,0,none,0,0,0,0
2008205,2,20,39,0,2910035,1,0,none,0,0,0,0
2008206,3,20,40,0,2910036,1,0,none,0,0,0,0
2008207,3,20,41,0,2910037,1,0,none,0,0,0,0
2008208,3,20,42,0,2910038,1,0,none,0,0,0,0
2008209,3,20,43,0,2910039,1,0,none,0,0,0,0
2008210,3,20,44,0,2910040,1,0,none,0,0,0,0
2008211,4,20,45,0,2910041,1,0,none,0,0,0,0
2008212,4,20,46,0,2910042,1,0,none,0,0,0,0
2008213,4,20,47,0,2910043,1,0,none,0,0,0,0
2008214,4,20,48,0,2910044,1,0,none,0,0,0,0
2008215,4,20,49,0,2910045,1,0,none,0,0,0,0
2008216,2,20,50,0,2910046,1,0,none,0,0,0,0
2008217,2,20,51,0,2910047,1,0,none,0,0,0,0
2008218,2,20,52,0,2910048,1,0,none,0,0,0,0
2008219,2,20,53,0,2910049,1,0,none,0,0,0,0
2008220,2,20,54,0,2910050,1,0,none,0,0,0,0
2008221,3,20,55,0,2910051,1,0,none,0,0,0,0
2008222,3,20,56,0,2910052,1,0,none,0,0,0,0
2008223,3,20,57,0,2910053,1,0,none,0,0,0,0
2008224,3,20,58,0,2910054,1,0,none,0,0,0,0
2008225,3,20,59,0,2910055,1,0,none,0,0,0,0
2008226,4,20,60,0,2910056,1,0,none,0,0,0,0
2008227,4,20,61,0,2910057,1,0,none,0,0,0,0
2008228,4,20,62,0,2910058,1,0,none,0,0,0,0
2008229,4,20,63,0,2910059,1,0,none,0,0,0,0
2008230,4,20,64,0,2910060,1,0,none,0,0,0,0
3402001,1,20,1,0,2902001,1,0,none,0,0,0,0
3402002,1,20,2,0,2902002,1,0,none,0,0,0,0
3402003,1,20,3,0,2902003,1,0,none,0,0,0,0
3402004,1,20,4,0,2902004,1,0,none,0,0,0,0
3402005,1,20,5,0,2902005,1,0,none,0,0,0,0
3402006,1,20,6,0,2902006,1,0,none,0,0,0,0
3402007,1,20,7,0,2902007,1,0,none,0,0,0,0
3402008,1,20,8,0,2902008,1,0,none,0,0,0,0
3402009,1,20,9,0,2902009,1,0,none,0,0,0,0
3402010,1,20,10,0,2902010,1,0,none,0,0,0,0
3402011,1,20,11,0,2902011,1,0,none,0,0,0,0
3402012,1,20,12,0,2902012,1,0,none,0,0,0,0
3403001,1,20,1,0,2903001,1,0,none,0,0,0,0
3403002,1,20,2,0,2903002,1,0,none,0,0,0,0
3403003,1,20,3,0,2903003,1,0,none,0,0,0,0
3403004,1,20,4,0,2903004,1,0,none,0,0,0,0
3403005,1,20,5,0,2903005,1,0,none,0,0,0,0
3403006,1,20,6,0,2903006,1,0,none,0,0,0,0
3403007,1,20,7,0,2903007,1,0,none,0,0,0,0
3403008,1,20,8,0,2903008,1,0,none,0,0,0,0
3403009,1,20,9,0,2903009,1,0,none,0,0,0,0
3403010,1,20,10,0,2903010,1,0,none,0,0,0,0
3403011,1,20,11,0,2903011,1,0,none,0,0,0,0
3403012,1,20,12,0,2903012,1,0,none,0,0,0,0
3404001,1,20,1,0,2904001,1,0,none,0,0,0,0
3404002,1,20,2,0,2904002,1,0,none,0,0,0,0
3404003,1,20,3,0,2904003,1,0,none,0,0,0,0
3404004,1,20,4,0,2904004,1,0,none,0,0,0,0
3404005,1,20,5,0,2904005,1,0,none,0,0,0,0
3404006,1,20,6,0,2904006,1,0,none,0,0,0,0
3404007,1,20,7,0,2904007,1,0,none,0,0,0,0
3404008,1,20,8,0,2904008,1,0,none,0,0,0,0
3404009,1,20,9,0,2904009,1,0,none,0,0,0,0
3404010,1,20,10,0,2904010,1,0,none,0,0,0,0
3404011,1,20,11,0,2904011,1,0,none,0,0,0,0
3404012,1,20,12,0,2904012,1,0,none,0,0,0,0
3405001,1,20,1,0,2905001,1,0,none,0,0,0,0
3405002,1,20,2,0,2905002,1,0,none,0,0,0,0
3405003,1,20,3,0,2905003,1,0,none,0,0,0,0
3405004,1,20,4,0,2905004,1,0,none,0,0,0,0
3405005,1,20,5,0,2905005,1,0,none,0,0,0,0
3405006,1,20,6,0,2905006,1,0,none,0,0,0,0
3405007,1,20,7,0,2905007,1,0,none,0,0,0,0
3405008,1,20,8,0,2905008,1,0,none,0,0,0,0
3405009,1,20,9,0,2905009,1,0,none,0,0,0,0
3405010,1,20,10,0,2905010,1,0,none,0,0,0,0
3405011,1,20,11,0,2905011,1,0,none,0,0,0,0
3405012,1,20,12,0,2905012,1,0,none,0,0,0,0
2212001,1,21,1103005,1,0,1,0,none,0,0,0,0
2212002,1,21,1103005,10,0,1,0,none,0,0,0,0
2212003,1,21,1103005,100,0,1,0,none,0,0,0,0
2212004,1,21,1103005,10000,0,1,0,none,0,0,0,0
2101001,1,22,0,100,0,1,0,none,0,0,0,0
2101002,1,22,0,1000,0,1,0,none,0,0,0,0
2102001,1,23,1,0,0,1,0,none,0,0,0,0
